ID,County,Zip
13,Schuylkill County,17934
13,Schuylkill County,17935
13,Schuylkill County,17936
13,Schuylkill County,17938
13,Schuylkill County,17941
13,Schuylkill County,17942
13,Schuylkill County,17943
13,Schuylkill County,17944
13,Schuylkill County,17945
13,Schuylkill County,17946
13,Schuylkill County,17948
13,Schuylkill County,17949
13,Schuylkill County,17951
13,Schuylkill County,17952
13,Schuylkill County,17953
13,Schuylkill County,17954
13,Schuylkill County,17957
13,Schuylkill County,17959
13,Schuylkill County,17960
13,Schuylkill County,17961
13,Schuylkill County,17963
13,Schuylkill County,17964
13,Schuylkill County,17965
13,Schuylkill County,17966
13,Schuylkill County,17967
13,Schuylkill County,17968
13,Schuylkill County,17970
13,Schuylkill County,17972
13,Schuylkill County,17974
13,Schuylkill County,17976
13,Schuylkill County,17978
13,Schuylkill County,17979
13,Schuylkill County,17980
13,Schuylkill County,17981
13,Schuylkill County,17982
13,Schuylkill County,17983
13,Schuylkill County,17985
13,Schuylkill County,18211
13,Schuylkill County,18214
13,Schuylkill County,18218
13,Schuylkill County,18220
13,Schuylkill County,18231
13,Schuylkill County,18237
13,Schuylkill County,18241
13,Schuylkill County,18242
13,Schuylkill County,18245
13,Schuylkill County,18248
13,Schuylkill County,18252
13,Schuylkill County,19549
14,Potter County,16720
14,Potter County,16746
14,Potter County,16748
14,Potter County,16915
14,Potter County,16922
14,Potter County,16923
14,Potter County,16927
14,Potter County,16937
14,Potter County,16941
14,Potter County,16948
14,Potter County,17729
15,Pike County,18324
15,Pike County,18325
15,Pike County,18328
15,Pike County,18336
15,Pike County,18337
15,Pike County,18340
15,Pike County,18371
15,Pike County,18373
15,Pike County,18425
15,Pike County,18426
15,Pike County,18428
15,Pike County,18435
15,Pike County,18451
15,Pike County,18457
15,Pike County,18458
15,Pike County,18464
16,Philadelphia County,19019
16,Philadelphia County,19092
16,Philadelphia County,19093
16,Philadelphia County,19099
16,Philadelphia County,19101
16,Philadelphia County,19102
16,Philadelphia County,19103
16,Philadelphia County,19104
16,Philadelphia County,19105
16,Philadelphia County,19106
16,Philadelphia County,19107
16,Philadelphia County,19108
16,Philadelphia County,19109
16,Philadelphia County,19110
16,Philadelphia County,19111
16,Philadelphia County,19112
16,Philadelphia County,19114
16,Philadelphia County,19115
16,Philadelphia County,19116
16,Philadelphia County,19118
16,Philadelphia County,19119
16,Philadelphia County,19120
16,Philadelphia County,19121
16,Philadelphia County,19122
16,Philadelphia County,19123
16,Philadelphia County,19124
16,Philadelphia County,19125
16,Philadelphia County,19126
16,Philadelphia County,19127
16,Philadelphia County,19128
16,Philadelphia County,19129
16,Philadelphia County,19130
16,Philadelphia County,19131
16,Philadelphia County,19132
16,Philadelphia County,19133
16,Philadelphia County,19134
16,Philadelphia County,19135
16,Philadelphia County,19136
16,Philadelphia County,19137
16,Philadelphia County,19138
16,Philadelphia County,19139
16,Philadelphia County,19140
16,Philadelphia County,19141
16,Philadelphia County,19142
16,Philadelphia County,19143
16,Philadelphia County,19144
16,Philadelphia County,19145
16,Philadelphia County,19146
16,Philadelphia County,19147
