ID,county,PD,TP,P,NP,rate
50,Carbon,Weatherly Boro Police Dept,60,55,5,92%
51,Cameron,Emporium Boro Police Dept,26,20,6,77%
52,Cambria,Adams Township Police Dept,27,27,0,100%
52,Cambria,Ashville Boro Police Dept,1,1,0,100%
52,Cambria,Blacklick Township Police Dept,8,8,0,100%
52,Cambria,Cambria County DUI Task Force,9,8,1,89%
52,Cambria,Cambria County Sheriff,50,45,5,90%
52,Cambria,"Cambria County, Detectives",184,172,12,93%
52,Cambria,Cambria Township Police Dept,173,152,21,88%
52,Cambria,Carrolltown Boro Police Dept,27,25,2,93%
52,Cambria,Conemaugh Township Police Dept,17,17,0,100%
52,Cambria,Cresson Boro Police Dept,64,59,5,92%
52,Cambria,Cresson Township Police Dept,69,66,3,96%
52,Cambria,Croyle Township Police Dept,8,8,0,100%
